province,capital,capital_short,long,lat,abbr
辽宁省,沈阳市,沈阳,123.429092,41.796768,辽
吉林省,长春市,长春,125.324501,43.886841,吉
黑龙江省,哈尔滨市,哈尔滨,126.642464,45.756966,黑
北京市,北京市,北京,116.405289,39.904987,京
天津市,天津市,天津,117.190186,39.125595,津
内蒙古自治区,呼和浩特市,呼和浩特,111.75199,40.84149,蒙
宁夏回族自治区,银川市,银川,106.23248,38.48644,宁
山西省,太原市,太原,112.549248,37.857014,晋
河北省,石家庄市,石家庄,114.502464,38.045475,冀
山东省,济南市,济南,117.000923,36.675808,鲁
河南省,郑州市,郑州,113.665413,34.757977,豫
陕西省,西安市,西安,108.948021,34.263161,陕
湖北省,武汉市,武汉,114.298569,30.584354,鄂
江苏省,南京市,南京,118.76741,32.041546,苏
安徽省,合肥市,合肥,117.283043,31.861191,皖
上海市,上海市,上海,121.472641,31.231707,沪
湖南省,长沙市,长沙,112.982277,28.19409,湘
江西省,南昌市,南昌,115.892151,28.676493,赣
浙江省,杭州市,杭州,120.15358,30.287458,浙
福建省,福州市,福州,119.306236,26.075302,闽
广东省,广州市,广州,113.28064,23.125177,粤
台湾省,台北市,台北,121.520076,25.030724,台
海南省,海口市,海口,110.19989,20.04422,琼
广西壮族自治区,南宁市,南宁,108.320007,22.82402,桂
重庆市,重庆市,重庆,106.504959,29.533155,渝
云南省,昆明市,昆明,102.71225,25.040609,滇
贵州省,贵阳市,贵阳,106.713478,26.578342,贵
四川省,成都市,成都,104.065735,30.659462,川
甘肃省,兰州市,兰州,103.83417,36.06138,甘
青海省,西宁市,西宁,101.77782,36.61729,青
西藏自治区,拉萨市,拉萨,91.1145,29.64415,藏
新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐,87.61688,43.82663,新
香港特别行政区,香港,香港,114.16546,22.27534,港
澳门特别行政区,澳门,澳门,113.54913,22.19875,澳
