cn_full,cn_abbr,cn_short,en_full,en_short,ja_full
北京市,京,北京,Beijing Municipality,Beijing,北京市
天津市,津,天津,Tianjin Municipality,Tianjin,天津市
上海市,沪,上海,Shanghai Municipality,Shanghai,上海市
重庆市,渝,重庆,Chongqing Municipality,Chongqing,重慶市
内蒙古自治区,蒙,内蒙古,Inner Mongolia Autonomous Region,Inner Mongolia,内モンゴル自治区
宁夏回族自治区,宁,宁夏,Ningxia Autonomous Region,Ningxia,寧夏回族自治区
广西壮族自治区,桂,广西,Guangxi Autonomous Region,Guangxi,広西チワン族自治区
西藏自治区,藏,西藏,Tibet Autonomous Region,Tibet,チベット自治区
新疆维吾尔自治区,新,新疆,Xinjiang Autonomous Region,Xinjiang,新疆ウイグル自治区
香港特别行政区,港,香港,Hong Kong SAR,Hong Kong,香港特別行政区
澳门特别行政区,澳,澳门,Macau SAR,Macau,マカオ特別行政区
辽宁省,辽,辽宁,Liaoning Province,Liaoning,遼寧省
吉林省,吉,吉林,Jilin Province,Jilin,吉林省
黑龙江省,黑,黑龙江,Heilongjiang Province,Heilongjiang,黒竜江省
山西省,晋,山西,Shanxi Province,Shanxi,山西省
河北省,冀,河北,Hebei Province,Hebei,河北省
山东省,鲁,山东,Shandong Province,Shandong,山東省
河南省,豫,河南,Henan Province,Henan,河南省
陕西省,陕,陕西,Shanxi Province,Shanxi,陝西省
湖北省,鄂,湖北,Hubei Province,Hubei,湖北省
江苏省,苏,江苏,Jiangsu Province,Jiangsu,江蘇省
安徽省,皖,安徽,Anhui Province,Anhui,安徽省
湖南省,湘,湖南,Hunan Province,Hunan,湖南省
江西省,赣,江西,Jiangxi Province,Jiangxi,江西省
浙江省,浙,浙江,Zhejiang Province,Zhejiang,浙江省
福建省,闽,福建,Fujian Province,Fujian,福建省
广东省,粤,广东,Guangdong Province,Guangdong,広東省
台湾省,台,台湾,Taiwan Province,Taiwan,台湾省
海南省,琼,海南,Hainan Province,Hainan,海南省
云南省,滇,云南,Yunnan Province,Yunnan,雲南省
贵州省,贵,贵州,Guizhou Province,Guizhou,貴州省
四川省,川,四川,Sichuan Province,Sichuan,四川省
甘肃省,甘,甘肃,Gansu Province,Gansu,甘粛省
青海省,青,青海,Qinghai Province,Qinghai,青海省
